2014-06-05 21:00:33.791 [error] <0.57.0>@lager_handler_watcher:98 Lager fatally failed to install handler lager_console_backend into lager_event, NOT retrying: old_shell
2014-06-05 21:00:33.791 [warning] <0.52.0>@lager_console_backend:64 Lager's console backend is incompatible with the 'old' shell, not enabling it
2014-06-05 21:00:57.056 [error] <0.84.0>@mod_map:handle:9 DBG "State"=={robot,1,[114,111,98,111,116,95,49],[],6,#Port<0.3424>,0,1,[1],10000,{r_pos,0,95,72,0},[{95,73},{95,74},{95,75},{95,76},{95,77}],0,0,0,[],0,0}
2014-06-05 21:00:57.259 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,73}
2014-06-05 21:00:57.463 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,74}
2014-06-05 21:00:57.657 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,74}
2014-06-05 21:00:57.866 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,94,74}
2014-06-05 21:00:58.075 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,93,74}
2014-06-05 21:00:58.273 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,92,74}
2014-06-05 21:00:58.471 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,91,74}
2014-06-05 21:00:58.671 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"ZJYJXJ"}
2014-06-05 21:00:58.671 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,90,74}
2014-06-05 21:00:58.671 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,89,74}
2014-06-05 21:00:58.884 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,74}
2014-06-05 21:01:00.700 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"XJXIXHXGXFXEXDXC"}
2014-06-05 21:01:00.700 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,74}
2014-06-05 21:01:00.912 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,73}
2014-06-05 21:01:01.114 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,72}
2014-06-05 21:01:01.314 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,71}
2014-06-05 21:01:01.315 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_leave,[],[]}
2014-06-05 21:01:01.315 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_enter,[],[]}
2014-06-05 21:01:01.315 [error] <0.84.0>@mod_map:handle:9 DBG "State"=={robot,1,[114,111,98,111,116,95,49],[],6,#Port<0.3424>,0,1,[1],10000,{r_pos,0,88,71,0},[{88,70},{88,69},{88,68},{88,67}],0,0,0,[],0,0}
2014-06-05 21:01:01.520 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,70}
2014-06-05 21:01:01.714 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,70}
2014-06-05 21:01:01.927 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,69}
2014-06-05 21:01:02.124 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,68}
2014-06-05 21:01:02.328 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,67}
2014-06-05 21:01:02.530 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,66}
2014-06-05 21:01:02.728 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"XAX@X?"}
2014-06-05 21:01:02.728 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,65}
2014-06-05 21:01:02.728 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,64}
2014-06-05 21:01:02.943 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,63}
2014-06-05 21:01:04.756 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"X?X>X=X<X;X9"}
2014-06-05 21:01:04.756 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,63}
2014-06-05 21:01:04.970 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,62}
2014-06-05 21:01:05.164 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,61}
2014-06-05 21:01:05.374 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,60}
2014-06-05 21:01:05.570 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,59}
2014-06-05 21:01:05.571 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_leave,[],[]}
2014-06-05 21:01:05.571 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_enter,[],[]}
2014-06-05 21:01:05.571 [error] <0.84.0>@mod_map:handle:9 DBG "State"=={robot,1,[114,111,98,111,116,95,49],[],6,#Port<0.3424>,0,1,[1],10000,{r_pos,0,88,59,0},[{88,57}],0,0,0,[],0,0}
2014-06-05 21:01:05.771 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,88,59}
